pl_name,pl_hostname,TIC,MAX_D,P_bls,snr_bls,T0_bls,duration_bls,P_bls_n,snr_bls_n,T0_bls_n,duration_bls_n,MAX_I,P_foc,snr_foc,T0_foc,duration_foc,P_bls_n2,snr_bls_n2,T0_bls_n2,duration_bls_n2,P_tls,sde_tls,T0_tls,snr_tls,duration_tls
HD 45184 b,HD 45184,49831913,19.7723059210321,13.7598704262035,5.13587751207773,1478.35601513908,0.184,14.1866352780258,4.11006065185597,1478.02651513908,0.246,,,,,,,,,,,,,,
HD 51608 b,HD 51608,279246287,47.6354374442781,4.23768777888553,5.11246888665151,1357.26092317774,0.212,1.2394557965217,4.00329928004772,1354.22692317774,0.205,,,,,,,,,,,,,,
HD 69830 b,HD 69830,307624961,22.4545612098477,5.85026878988625,5.43915827848244,1492.7842893708,0.038,1.49059929957326,5.93666411042192,1492.6992893708,0.214,,,,,,,,,,,,,,
HD 7924 b,HD 7924,468723402,44.6915820217737,1.00464414915945,10.0246784091587,1791.91359095563,0.191,2.47656998215218,5.69582556331171,1793.46231337957,0.244,,,,,,,,,,,,,,
HIP 54373 b,HIP 54373,410407964,22.2015465760783,1.40478443334516,3.76294729026762,1544.94051969877,0.157,1.63951027868879,3.53369111197245,1545.77651969877,0.236,,,,,,,,,,,,,,
HIP 57274 b,HIP 57274,5078530,24.3541531371779,0.958258915441187,1.84064907405428,1900.23054666708,0.005,1.8622051192528,1.72077083652876,1900.7843282712,0.008,,,,,,,,,,,,,,
YZ Cet b,YZ Cet,439403362,18.2651924218369,4.53321777854148,5.20909353406191,1387.66279150009,0.14,0.834253323757462,5.42176006086697,1386.02379150009,0.137,,,,,,,,,,,,,,
tau Cet g,tau Cet,419015728,18.2654478542825,13.1145432801803,18.9271876941202,1394.24955299727,0.245,13.1141618098533,19.8516991195905,1394.24955299727,0.245,,,,,,,,,,,,,,
55 Cnc e,55 Cnc,332064670,25.3441220520533,0.736464369191846,105.413962768394,1870.69386450346,0.061,3.43998222560993,4.48303949901968,1873.60836450346,0.196,,,,,,,,,,,,,,
 Gl 617 A b, Gl617A,230073581,94.4193876468664,177.293203014417,78.7206276891297,1790.89273486225,0.249,,,,,181.876378773899,87.7358596662763,30.4564532351914,1695.01573486225,0.105,,,,,,,,,
 Gl 617 A c, Gl617A,230073581,94.4193876468664,87.0,43.2769742712388,1790.98023486225,0.249,,,,,181.876378773899,,,,,,,,,,,,,
